R_version	name	version	date_time	hash	binary_location	status
4.2.3	askpass	1.1	2023-04-16T23:50:18Z	1c85ddeb5777bd3bbcfd3d9b24a5d1fb	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/askpass/1.1/1c85ddeb5777bd3bbcfd3d9b24a5d1fb/askpass	available
4.2.3	backports	1.4.1	2023-05-10T00:21:07Z	e06c76792dd23292735020a1e01eee10	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/backports/1.4.1/e06c76792dd23292735020a1e01eee10/backports	available
4.2.3	base	4.2.3	2023-04-16T23:50:19Z	27074b6ee33c311d1d0d6901f4302b34	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/base/4.2.3/27074b6ee33c311d1d0d6901f4302b34/base	base
4.2.3	base64enc	0.1.3	2023-04-16T23:50:20Z	609b334902243e8df6fd0de6e7bc77d4	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/base64enc/0.1-3/609b334902243e8df6fd0de6e7bc77d4/base64enc	available
4.2.3	bit	4.0.5	2023-04-16T23:50:22Z	9105334619bf6221dd63f2f3c331ae87	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/bit/4.0.5/9105334619bf6221dd63f2f3c331ae87/bit	available
4.2.3	bit64	4.0.5	2023-04-16T23:50:23Z	77e83bf78927bc64ac70b547eebac54a	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/bit64/4.0.5/77e83bf78927bc64ac70b547eebac54a/bit64	available
4.2.3	blaseRtemplates	0.0.0.9193	2023-04-16T23:50:25Z	61a8d8267c519663b36db5b6357b07aa	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/blaseRtemplates/0.0.0.9193/61a8d8267c519663b36db5b6357b07aa/blaseRtemplates	active
4.2.3	blob	1.2.4	2023-05-10T00:21:08Z	dcb686fb096088303dceb7254c1000a1	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/blob/1.2.4/dcb686fb096088303dceb7254c1000a1/blob	available
4.2.3	boot	1.3.28.1	2023-04-16T23:50:26Z	ba12aa0fd38955a49ef4a71c1221f084	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/boot/1.3-28.1/ba12aa0fd38955a49ef4a71c1221f084/boot	available
4.2.3	brew	1.0.8	2023-04-16T23:50:28Z	560b8ebd21d0cbe1552e866597a2afb3	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/brew/1.0-8/560b8ebd21d0cbe1552e866597a2afb3/brew	available
4.2.3	brio	1.1.3	2023-04-16T23:50:29Z	9fdf79b687f30bf14123203de2efac0f	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/brio/1.1.3/9fdf79b687f30bf14123203de2efac0f/brio	available
4.2.3	broom	1.0.4	2023-05-10T00:21:09Z	8f49e0391797bb4c84774e545e2d4a83	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/broom/1.0.4/8f49e0391797bb4c84774e545e2d4a83/broom	available
4.2.3	bslib	0.4.2	2023-04-16T23:50:51Z	1c5c95900334c050e7f32e2e8cbee47b	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/bslib/0.4.2/1c5c95900334c050e7f32e2e8cbee47b/bslib	available
4.2.3	cachem	1.0.7	2023-04-16T23:51:01Z	41268e5ea4841d6987336646cc2b3579	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/cachem/1.0.7/41268e5ea4841d6987336646cc2b3579/cachem	available
4.2.3	callr	3.7.3	2023-04-16T23:51:02Z	8b0f4822eb9d4bc62f509cd3959c5364	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/callr/3.7.3/8b0f4822eb9d4bc62f509cd3959c5364/callr	available
4.2.3	cellranger	1.1.0	2023-05-10T00:21:10Z	121df34e1eabeaf8a31f013a6a7d2974	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/cellranger/1.1.0/121df34e1eabeaf8a31f013a6a7d2974/cellranger	available
4.2.3	class	7.3.21	2023-04-16T23:51:03Z	2cb32215ca6ef27244593a41d1c5f7f8	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/class/7.3-21/2cb32215ca6ef27244593a41d1c5f7f8/class	available
4.2.3	cli	3.6.1	2023-04-16T23:51:05Z	61fb3e385a712a858dcbd1db3231fdbd	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/cli/3.6.1/61fb3e385a712a858dcbd1db3231fdbd/cli	available
4.2.3	clipr	0.8.0	2023-04-16T23:51:07Z	ee3edafb43fb6e7d968e0363fdb8e922	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/clipr/0.8.0/ee3edafb43fb6e7d968e0363fdb8e922/clipr	available
4.2.3	cluster	2.1.4	2023-04-16T23:51:09Z	db9f0ff4915867c103d6ef7d4bd7290f	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/cluster/2.1.4/db9f0ff4915867c103d6ef7d4bd7290f/cluster	available
4.2.3	codetools	0.2.19	2023-04-16T23:51:10Z	ac6ca73020aab6f4b692b51d84b41d30	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/codetools/0.2-19/ac6ca73020aab6f4b692b51d84b41d30/codetools	available
4.2.3	colorspace	2.1.0	2023-05-10T00:21:16Z	ecf93e6f71c0cb882a2445725c887094	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/colorspace/2.1-0/ecf93e6f71c0cb882a2445725c887094/colorspace	available
4.2.3	commonmark	1.9.0	2023-04-16T23:51:11Z	87b9d09cdc5501389d79b81c0e9ecbcf	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/commonmark/1.9.0/87b9d09cdc5501389d79b81c0e9ecbcf/commonmark	available
4.2.3	compiler	4.2.3	2023-04-16T23:51:11Z	acaea315401e17537a4830969db7a1c5	C:/Users/klim03/Documents/DS_2023/r_4_2_cache/library/compiler/4.2.3/acaea315401e17537a4830969db7a1c5/compiler	base
